Team,VenueName,City,State,Round,DistanceMiles,AdvantageScore
Incarnate Word,Alamodome,San Antonio,TX,Final Four,3.5,0.9941
UTSA,Alamodome,San Antonio,TX,Final Four,14.1,0.9768
Texas State,Alamodome,San Antonio,TX,Final Four,46.1,0.926
Texas,Alamodome,San Antonio,TX,Final Four,74.7,0.8829
Texas A&M,Alamodome,San Antonio,TX,Final Four,151.7,0.7766
Prairie View A&M,Alamodome,San Antonio,TX,Final Four,156.7,0.7701
Baylor,Alamodome,San Antonio,TX,Final Four,168.4,0.7553
Houston Christian,Alamodome,San Antonio,TX,Final Four,179.3,0.7417
Rice,Alamodome,San Antonio,TX,Final Four,186.0,0.7335
Texas Southern,Alamodome,San Antonio,TX,Final Four,188.7,0.7301
Houston,Alamodome,San Antonio,TX,Final Four,189.6,0.729
Tarleton State,Alamodome,San Antonio,TX,Final Four,193.8,0.724
Sam Houston,Alamodome,San Antonio,TX,Final Four,197.0,0.7201
Texas-Rio Grande Valley,Alamodome,San Antonio,TX,Final Four,215.8,0.6979
Abilene Christian,Alamodome,San Antonio,TX,Final Four,223.0,0.6896
Texas Christian,Alamodome,San Antonio,TX,Final Four,236.7,0.674
UT Arlington,Alamodome,San Antonio,TX,Final Four,242.6,0.6674
Southern Methodist,Alamodome,San Antonio,TX,Final Four,257.0,0.6516
Lamar,Alamodome,San Antonio,TX,Final Four,267.7,0.64
Stephen F. Austin,Alamodome,San Antonio,TX,Final Four,274.5,0.6329
East Texas A&M,Alamodome,San Antonio,TX,Final Four,304.2,0.6023
McNeese,Alamodome,San Antonio,TX,Final Four,320.2,0.5864
Texas Tech,Alamodome,San Antonio,TX,Final Four,351.7,0.5564
Northwestern State,Alamodome,San Antonio,TX,Final Four,358.2,0.5505
Grambling,Alamodome,San Antonio,TX,Final Four,402.8,0.511
Oklahoma,Alamodome,San Antonio,TX,Final Four,403.7,0.5103
Louisiana Tech,Alamodome,San Antonio,TX,Final Four,406.7,0.5077
Louisiana-Monroe,Alamodome,San Antonio,TX,Final Four,436.5,0.4831
Louisiana State,Alamodome,San Antonio,TX,Final Four,442.1,0.4786
Louisiana,Alamodome,San Antonio,TX,Final Four,442.1,0.4786
Nicholls State,Alamodome,San Antonio,TX,Final Four,461.8,0.4631
Alcorn State,Alamodome,San Antonio,TX,Final Four,468.1,0.4583
Oklahoma State,Alamodome,San Antonio,TX,Final Four,470.8,0.4563
Oral Roberts,Alamodome,San Antonio,TX,Final Four,481.2,0.4485
Southeastern Louisiana,Alamodome,San Antonio,TX,Final Four,485.4,0.4453
Tulsa,Alamodome,San Antonio,TX,Final Four,487.9,0.4434
Tulane,Alamodome,San Antonio,TX,Final Four,503.1,0.4324
North Texas,Alamodome,San Antonio,TX,Final Four,503.8,0.4318
Arkansas-Pine Bluff,Alamodome,San Antonio,TX,Final Four,504.1,0.4316
UTEP,Alamodome,San Antonio,TX,Final Four,504.2,0.4316
New Orleans,Alamodome,San Antonio,TX,Final Four,506.5,0.4299
Little Rock,Alamodome,San Antonio,TX,Final Four,513.2,0.4251
Arkansas,Alamodome,San Antonio,TX,Final Four,524.9,0.417
Central Arkansas,Alamodome,San Antonio,TX,Final Four,525.8,0.4163
New Mexico State,Alamodome,San Antonio,TX,Final Four,528.1,0.4147
Jackson State,Alamodome,San Antonio,TX,Final Four,529.3,0.4139
Mississippi Valley State,Alamodome,San Antonio,TX,Final Four,556.5,0.3956
Southern Mississippi,Alamodome,San Antonio,TX,Final Four,560.6,0.3928
Wichita State,Alamodome,San Antonio,TX,Final Four,577.6,0.3819
Missouri State,Alamodome,San Antonio,TX,Final Four,615.6,0.3584
New Mexico,Alamodome,San Antonio,TX,Final Four,615.7,0.3584
South Alabama,Alamodome,San Antonio,TX,Final Four,621.5,0.3549
North Alabama,Alamodome,San Antonio,TX,Final Four,621.5,0.3549
Mississippi,Alamodome,San Antonio,TX,Final Four,625.6,0.3525
Lafayette,Alamodome,San Antonio,TX,Final Four,625.9,0.3524
Mississippi State,Alamodome,San Antonio,TX,Final Four,634.7,0.3472
Arkansas State,Alamodome,San Antonio,TX,Final Four,634.8,0.3472
Kansas,Alamodome,San Antonio,TX,Final Four,683.8,0.3199
Kansas State,Alamodome,San Antonio,TX,Final Four,684.9,0.3193
Alabama,Alamodome,San Antonio,TX,Final Four,696.5,0.3132
Kansas City,Alamodome,San Antonio,TX,Final Four,705.6,0.3085
Tennessee-Martin,Alamodome,San Antonio,TX,Final Four,734.2,0.2941
Samford,Alamodome,San Antonio,TX,Final Four,742.9,0.2899
UAB,Alamodome,San Antonio,TX,Final Four,743.1,0.2898
Missouri,Alamodome,San Antonio,TX,Final Four,745.2,0.2888
Alabama State,Alamodome,San Antonio,TX,Final Four,750.2,0.2864
Southeast Missouri State,Alamodome,San Antonio,TX,Final Four,750.7,0.2862
Air Force,Alamodome,San Antonio,TX,Final Four,754.6,0.2843
Troy,Alamodome,San Antonio,TX,Final Four,762.3,0.2807
Arizona,Alamodome,San Antonio,TX,Final Four,764.6,0.2796
Murray State,Alamodome,San Antonio,TX,Final Four,769.5,0.2773
Southern Illinois,Alamodome,San Antonio,TX,Final Four,781.4,0.2719
Alabama A&M,Alamodome,San Antonio,TX,Final Four,788.8,0.2686
Saint Louis,Alamodome,San Antonio,TX,Final Four,792.1,0.2671
Lindenwood,Alamodome,San Antonio,TX,Final Four,793.7,0.2664
Nebraska,Alamodome,San Antonio,TX,Final Four,795.0,0.2658
Denver,Alamodome,San Antonio,TX,Final Four,798.4,0.2643
Auburn,Alamodome,San Antonio,TX,Final Four,799.0,0.264
Jacksonville State,Alamodome,San Antonio,TX,Final Four,807.0,0.2605
Austin Peay,Alamodome,San Antonio,TX,Final Four,810.0,0.2593
Lipscomb,Alamodome,San Antonio,TX,Final Four,820.1,0.2549
Tennessee State,Alamodome,San Antonio,TX,Final Four,820.9,0.2546
Vanderbilt,Alamodome,San Antonio,TX,Final Four,821.2,0.2544
Belmont,Alamodome,San Antonio,TX,Final Four,821.3,0.2544
Colorado,Alamodome,San Antonio,TX,Final Four,826.2,0.2523
Omaha,Alamodome,San Antonio,TX,Final Four,829.7,0.2509
Creighton,Alamodome,San Antonio,TX,Final Four,830.8,0.2504
Middle Tennessee,Alamodome,San Antonio,TX,Final Four,832.5,0.2497
Northern Colorado,Alamodome,San Antonio,TX,Final Four,836.2,0.2482
West Georgia,Alamodome,San Antonio,TX,Final Four,838.0,0.2474
Arizona State,Alamodome,San Antonio,TX,Final Four,839.2,0.2469
Florida State,Alamodome,San Antonio,TX,Final Four,851.7,0.2419
Grand Canyon,Alamodome,San Antonio,TX,Final Four,851.7,0.2418
Florida A&M,Alamodome,San Antonio,TX,Final Four,852.2,0.2416
Southern Indiana,Alamodome,San Antonio,TX,Final Four,855.6,0.2403
Colorado State,Alamodome,San Antonio,TX,Final Four,855.8,0.2402
Chattanooga,Alamodome,San Antonio,TX,Final Four,862.0,0.2377
Evansville,Alamodome,San Antonio,TX,Final Four,862.2,0.2376
Northern Arizona,Alamodome,San Antonio,TX,Final Four,865.3,0.2364
Western Kentucky,Alamodome,San Antonio,TX,Final Four,868.5,0.2352
Kennesaw State,Alamodome,San Antonio,TX,Final Four,875.9,0.2323
Georgia Tech,Alamodome,San Antonio,TX,Final Four,880.8,0.2304
Georgia State,Alamodome,San Antonio,TX,Final Four,881.1,0.2303
Western Illinois,Alamodome,San Antonio,TX,Final Four,881.5,0.2301
Drake,Alamodome,San Antonio,TX,Final Four,884.1,0.2291
Tennessee Tech,Alamodome,San Antonio,TX,Final Four,885.1,0.2288
Mercer,Alamodome,San Antonio,TX,Final Four,907.4,0.2204
Eastern Illinois,Alamodome,San Antonio,TX,Final Four,908.4,0.22
Iowa State,Alamodome,San Antonio,TX,Final Four,912.0,0.2187
Wyoming,Alamodome,San Antonio,TX,Final Four,912.9,0.2184
Bradley,Alamodome,San Antonio,TX,Final Four,925.5,0.2138
South Dakota,Alamodome,San Antonio,TX,Final Four,928.0,0.213
Iowa,Alamodome,San Antonio,TX,Final Four,928.8,0.2127
Illinois State,Alamodome,San Antonio,TX,Final Four,934.5,0.2107
Indiana State,Alamodome,San Antonio,TX,Final Four,936.7,0.2099
Illinois,Alamodome,San Antonio,TX,Final Four,937.4,0.2097
Georgia,Alamodome,San Antonio,TX,Final Four,940.5,0.2086
Louisville,Alamodome,San Antonio,TX,Final Four,948.4,0.2058
Bellarmine,Alamodome,San Antonio,TX,Final Four,950.9,0.205
Tennessee,Alamodome,San Antonio,TX,Final Four,957.5,0.2027
Indiana,Alamodome,San Antonio,TX,Final Four,958.4,0.2024
Northern Iowa,Alamodome,San Antonio,TX,Final Four,964.7,0.2003
Florida,Alamodome,San Antonio,TX,Final Four,968.7,0.199
North Florida,Alamodome,San Antonio,TX,Final Four,976.4,0.1964
South Florida,Alamodome,San Antonio,TX,Final Four,976.5,0.1964
Western Carolina,Alamodome,San Antonio,TX,Final Four,978.9,0.1956
Clemson,Alamodome,San Antonio,TX,Final Four,984.0,0.194
Eastern Kentucky,Alamodome,San Antonio,TX,Final Four,996.3,0.19
Kentucky,Alamodome,San Antonio,TX,Final Four,997.5,0.1897
IU Indy,Alamodome,San Antonio,TX,Final Four,998.9,0.1892
Purdue,Alamodome,San Antonio,TX,Final Four,1001.8,0.1883
Butler,Alamodome,San Antonio,TX,Final Four,1002.1,0.1882
Georgia Southern,Alamodome,San Antonio,TX,Final Four,1010.0,0.1857
Furman,Alamodome,San Antonio,TX,Final Four,1010.9,0.1855
Jacksonville,Alamodome,San Antonio,TX,Final Four,1011.9,0.1852
Southern Utah,Alamodome,San Antonio,TX,Final Four,1013.7,0.1846
Utah Tech,Alamodome,San Antonio,TX,Final Four,1018.6,0.1831
Northern Illinois,Alamodome,San Antonio,TX,Final Four,1020.4,0.1826
Stetson,Alamodome,San Antonio,TX,Final Four,1035.3,0.1781
South Dakota State,Alamodome,San Antonio,TX,Final Four,1035.4,0.1781
Cincinnati,Alamodome,San Antonio,TX,Final Four,1037.5,0.1774
South Carolina Upstate,Alamodome,San Antonio,TX,Final Four,1037.7,0.1774
Northern Kentucky,Alamodome,San Antonio,TX,Final Four,1038.2,0.1772
Florida Gulf Coast,Alamodome,San Antonio,TX,Final Four,1039.0,0.177
Xavier,Alamodome,San Antonio,TX,Final Four,1042.7,0.1759
Chicago State,Alamodome,San Antonio,TX,Final Four,1044.7,0.1753
UCF,Alamodome,San Antonio,TX,Final Four,1045.0,0.1752
East Tennessee State,Alamodome,San Antonio,TX,Final Four,1047.1,0.1746
Long Island University,Alamodome,San Antonio,TX,Final Four,1048.2,0.1743
Illinois-Chicago,Alamodome,San Antonio,TX,Final Four,1048.9,0.1741
Ball State,Alamodome,San Antonio,TX,Final Four,1049.2,0.174
Valparaiso,Alamodome,San Antonio,TX,Final Four,1050.1,0.1738
Bethune-Cookman,Alamodome,San Antonio,TX,Final Four,1050.3,0.1737
Morehead State,Alamodome,San Antonio,TX,Final Four,1052.9,0.1729
DePaul,Alamodome,San Antonio,TX,Final Four,1054.5,0.1725
Brigham Young,Alamodome,San Antonio,TX,Final Four,1055.2,0.1723
Utah Valley,Alamodome,San Antonio,TX,Final Four,1059.0,0.1712
Gardner-Webb,Alamodome,San Antonio,TX,Final Four,1059.0,0.1712
Northwestern,Alamodome,San Antonio,TX,Final Four,1060.9,0.1707
Miami (OH),Alamodome,San Antonio,TX,Final Four,1062.7,0.1701
Wisconsin,Alamodome,San Antonio,TX,Final Four,1068.6,0.1685
Nevada-Las Vegas,Alamodome,San Antonio,TX,Final Four,1070.8,0.1679
South Carolina,Alamodome,San Antonio,TX,Final Four,1071.9,0.1675
South Carolina State,Alamodome,San Antonio,TX,Final Four,1075.3,0.1666
Dayton,Alamodome,San Antonio,TX,Final Four,1079.3,0.1655
Appalachian State,Alamodome,San Antonio,TX,Final Four,1080.2,0.1652
Utah,Alamodome,San Antonio,TX,Final Four,1085.8,0.1637
Wright State,Alamodome,San Antonio,TX,Final Four,1086.4,0.1635
Winthrop,Alamodome,San Antonio,TX,Final Four,1087.5,0.1633
Notre Dame,Alamodome,San Antonio,TX,Final Four,1090.4,0.1625
Purdue Fort Wayne,Alamodome,San Antonio,TX,Final Four,1103.3,0.159
Marquette,Alamodome,San Antonio,TX,Final Four,1107.5,0.1579
Marshall,Alamodome,San Antonio,TX,Final Four,1108.3,0.1577
Weber State,Alamodome,San Antonio,TX,Final Four,1109.8,0.1573
Charlotte,Alamodome,San Antonio,TX,Final Four,1110.7,0.1571
Milwaukee,Alamodome,San Antonio,TX,Final Four,1111.2,0.1569
Minnesota,Alamodome,San Antonio,TX,Final Four,1113.8,0.1562
Charleston Southern,Alamodome,San Antonio,TX,Final Four,1113.9,0.1562
San Diego State,Alamodome,San Antonio,TX,Final Four,1122.6,0.154
Utah State,Alamodome,San Antonio,TX,Final Four,1131.7,0.1517
UC San Diego,Alamodome,San Antonio,TX,Final Four,1132.2,0.1515
San Diego,Alamodome,San Antonio,TX,Final Four,1132.6,0.1514
Florida International,Alamodome,San Antonio,TX,Final Four,1135.9,0.1506
Ohio State,Alamodome,San Antonio,TX,Final Four,1139.5,0.1497
Western Michigan,Alamodome,San Antonio,TX,Final Four,1141.6,0.1492
Miami (FL),Alamodome,San Antonio,TX,Final Four,1142.5,0.1489
Florida Atlantic,Alamodome,San Antonio,TX,Final Four,1142.8,0.1489
UC Riverside,Alamodome,San Antonio,TX,Final Four,1150.4,0.147
Wake Forest,Alamodome,San Antonio,TX,Final Four,1152.5,0.1465
California Baptist,Alamodome,San Antonio,TX,Final Four,1154.8,0.1459
Ohio,Alamodome,San Antonio,TX,Final Four,1154.9,0.1459
Radford,Alamodome,San Antonio,TX,Final Four,1162.2,0.1441
High Point,Alamodome,San Antonio,TX,Final Four,1164.0,0.1437
Virginia Tech,Alamodome,San Antonio,TX,Final Four,1170.7,0.1421
Bowling Green,Alamodome,San Antonio,TX,Final Four,1172.5,0.1417
Queens (NC),Alamodome,San Antonio,TX,Final Four,1174.0,0.1413
UC Irvine,Alamodome,San Antonio,TX,Final Four,1174.9,0.1411
UNC Greensboro,Alamodome,San Antonio,TX,Final Four,1175.7,0.1409
Cal State Fullerton,Alamodome,San Antonio,TX,Final Four,1180.2,0.1399
Coastal Carolina,Alamodome,San Antonio,TX,Final Four,1182.8,0.1393
Toledo,Alamodome,San Antonio,TX,Final Four,1185.6,0.1386
Long Beach State,Alamodome,San Antonio,TX,Final Four,1192.0,0.1371
Elon,Alamodome,San Antonio,TX,Final Four,1192.9,0.1369
Green Bay,Alamodome,San Antonio,TX,Final Four,1193.6,0.1368
Michigan State,Alamodome,San Antonio,TX,Final Four,1202.4,0.1348
Southern California,Alamodome,San Antonio,TX,Final Four,1204.5,0.1343
Southern,Alamodome,San Antonio,TX,Final Four,1204.5,0.1343
Idaho State,Alamodome,San Antonio,TX,Final Four,1208.5,0.1334
North Dakota State,Alamodome,San Antonio,TX,Final Four,1210.9,0.1329
Michigan,Alamodome,San Antonio,TX,Final Four,1211.1,0.1328
Loyola Marymount,Alamodome,San Antonio,TX,Final Four,1211.3,0.1328
Eastern Michigan,Alamodome,San Antonio,TX,Final Four,1212.4,0.1326
North Carolina,Alamodome,San Antonio,TX,Final Four,1212.9,0.1324
UCLA,Alamodome,San Antonio,TX,Final Four,1214.1,0.1322
Mount St. Mary's,Alamodome,San Antonio,TX,Final Four,1216.3,0.1317
North Carolina A&T,Alamodome,San Antonio,TX,Final Four,1216.5,0.1317
Duke,Alamodome,San Antonio,TX,Final Four,1220.6,0.1308
Cal State Northridge,Alamodome,San Antonio,TX,Final Four,1220.7,0.1307
Campbell,Alamodome,San Antonio,TX,Final Four,1221.0,0.1307
North Carolina Central,Alamodome,San Antonio,TX,Final Four,1222.6,0.1303
NC State,Alamodome,San Antonio,TX,Final Four,1230.9,0.1285
VMI,Alamodome,San Antonio,TX,Final Four,1235.9,0.1275
Central Michigan,Alamodome,San Antonio,TX,Final Four,1236.3,0.1274
Detroit Mercy,Alamodome,San Antonio,TX,Final Four,1238.4,0.1269
Liberty,Alamodome,San Antonio,TX,Final Four,1239.3,0.1268
Akron,Alamodome,San Antonio,TX,Final Four,1247.2,0.1251
Oakland,Alamodome,San Antonio,TX,Final Four,1247.4,0.125
Kent State,Alamodome,San Antonio,TX,Final Four,1257.2,0.123
Cleveland State,Alamodome,San Antonio,TX,Final Four,1257.4,0.123
West Virginia,Alamodome,San Antonio,TX,Final Four,1265.0,0.1214
Longwood,Alamodome,San Antonio,TX,Final Four,1277.0,0.119
North Dakota,Alamodome,San Antonio,TX,Final Four,1281.0,0.1183
James Madison,Alamodome,San Antonio,TX,Final Four,1281.5,0.1181
Robert Morris,Alamodome,San Antonio,TX,Final Four,1283.4,0.1178
Youngstown State,Alamodome,San Antonio,TX,Final Four,1285.6,0.1173
Virginia,Alamodome,San Antonio,TX,Final Four,1289.4,0.1166
Duquesne,Alamodome,San Antonio,TX,Final Four,1290.3,0.1164
Pittsburgh,Alamodome,San Antonio,TX,Final Four,1291.9,0.1161
East Carolina,Alamodome,San Antonio,TX,Final Four,1293.2,0.1159
UC Santa Barbara,Alamodome,San Antonio,TX,Final Four,1296.9,0.1152
Montana State,Alamodome,San Antonio,TX,Final Four,1314.0,0.1119
Fresno State,Alamodome,San Antonio,TX,Final Four,1328.4,0.1093
Virginia Commonwealth,Alamodome,San Antonio,TX,Final Four,1331.5,0.1087
Mercyhurst,Alamodome,San Antonio,TX,Final Four,1349.5,0.1055
Cal Poly,Alamodome,San Antonio,TX,Final Four,1353.7,0.1048
William & Mary,Alamodome,San Antonio,TX,Final Four,1363.8,0.103
George Mason,Alamodome,San Antonio,TX,Final Four,1369.8,0.102
Old Dominion,Alamodome,San Antonio,TX,Final Four,1378.2,0.1006
Hampton,Alamodome,San Antonio,TX,Final Four,1379.2,0.1004
Norfolk State,Alamodome,San Antonio,TX,Final Four,1380.0,0.1003
Boise State,Alamodome,San Antonio,TX,Final Four,1383.1,0.0997
Georgetown,Alamodome,San Antonio,TX,Final Four,1383.5,0.0997
American,Alamodome,San Antonio,TX,Final Four,1383.5,0.0997
George Washington,Alamodome,San Antonio,TX,Final Four,1384.6,0.0995
Howard,Alamodome,San Antonio,TX,Final Four,1386.5,0.0992
Nevada,Alamodome,San Antonio,TX,Final Four,1396.9,0.0975
Penn State,Alamodome,San Antonio,TX,Final Four,1400.2,0.0969
Maryland-Baltimore County,Alamodome,San Antonio,TX,Final Four,1410.5,0.0953
Coppin State,Alamodome,San Antonio,TX,Final Four,1414.5,0.0946
St. Bonaventure,Alamodome,San Antonio,TX,Final Four,1416.0,0.0944
Loyola (MD),Alamodome,San Antonio,TX,Final Four,1417.6,0.0942
Towson,Alamodome,San Antonio,TX,Final Four,1418.5,0.094
Morgan State,Alamodome,San Antonio,TX,Final Four,1419.1,0.0939
Canisius,Alamodome,San Antonio,TX,Final Four,1432.1,0.0919
Niagara,Alamodome,San Antonio,TX,Final Four,1432.8,0.0918
Buffalo,Alamodome,San Antonio,TX,Final Four,1434.6,0.0915
Maryland-Eastern Shore,Alamodome,San Antonio,TX,Final Four,1437.7,0.0911
Memphis,Alamodome,San Antonio,TX,Final Four,1440.2,0.0907
Bucknell,Alamodome,San Antonio,TX,Final Four,1450.3,0.0892
San Jose State,Alamodome,San Antonio,TX,Final Four,1451.8,0.089
Sacramento State,Alamodome,San Antonio,TX,Final Four,1452.5,0.0888
Santa Clara,Alamodome,San Antonio,TX,Final Four,1455.0,0.0885
Montana,Alamodome,San Antonio,TX,Final Four,1463.6,0.0872
Delaware State,Alamodome,San Antonio,TX,Final Four,1467.1,0.0867
Stanford,Alamodome,San Antonio,TX,Final Four,1468.8,0.0865
Delaware,Alamodome,San Antonio,TX,Final Four,1468.9,0.0865
UC Davis,Alamodome,San Antonio,TX,Final Four,1471.0,0.0862
California,Alamodome,San Antonio,TX,Final Four,1480.7,0.0848
San Francisco,Alamodome,San Antonio,TX,Final Four,1490.6,0.0834
Villanova,Alamodome,San Antonio,TX,Final Four,1498.3,0.0823
Saint Joseph's,Alamodome,San Antonio,TX,Final Four,1502.2,0.0818
Pennsylvania,Alamodome,San Antonio,TX,Final Four,1503.3,0.0816
Drexel,Alamodome,San Antonio,TX,Final Four,1503.7,0.0816
Temple,Alamodome,San Antonio,TX,Final Four,1506.0,0.0813
La Salle,Alamodome,San Antonio,TX,Final Four,1507.6,0.0811
Lehigh,Alamodome,San Antonio,TX,Final Four,1511.8,0.0805
Cornell,Alamodome,San Antonio,TX,Final Four,1517.4,0.0797
Binghamton,Alamodome,San Antonio,TX,Final Four,1528.3,0.0783
Rider,Alamodome,San Antonio,TX,Final Four,1534.1,0.0776
Princeton,Alamodome,San Antonio,TX,Final Four,1539.6,0.0768
Syracuse,Alamodome,San Antonio,TX,Final Four,1552.6,0.0752
Rutgers,Alamodome,San Antonio,TX,Final Four,1554.3,0.075
Idaho,Alamodome,San Antonio,TX,Final Four,1556.0,0.0748
Washington State,Alamodome,San Antonio,TX,Final Four,1560.9,0.0742
Monmouth,Alamodome,San Antonio,TX,Final Four,1570.0,0.073
Seton Hall,Alamodome,San Antonio,TX,Final Four,1570.1,0.073
Colgate,Alamodome,San Antonio,TX,Final Four,1571.4,0.0729
NJIT,Alamodome,San Antonio,TX,Final Four,1573.4,0.0726
Saint Peter's,Alamodome,San Antonio,TX,Final Four,1578.2,0.0721
Columbia,Alamodome,San Antonio,TX,Final Four,1585.6,0.0712
Manhattan,Alamodome,San Antonio,TX,Final Four,1585.8,0.0712
Davidson,Alamodome,San Antonio,TX,Final Four,1589.7,0.0707
Fordham,Alamodome,San Antonio,TX,Final Four,1590.7,0.0706
St. John's (NY),Alamodome,San Antonio,TX,Final Four,1591.7,0.0704
Iona,Alamodome,San Antonio,TX,Final Four,1597.2,0.0698
Hofstra,Alamodome,San Antonio,TX,Final Four,1600.9,0.0694
Marist,Alamodome,San Antonio,TX,Final Four,1611.6,0.0682
Eastern Washington,Alamodome,San Antonio,TX,Final Four,1611.8,0.0681
Gonzaga,Alamodome,San Antonio,TX,Final Four,1614.3,0.0679
Navy,Alamodome,San Antonio,TX,Final Four,1624.6,0.0667
Fairfield,Alamodome,San Antonio,TX,Final Four,1628.8,0.0662
Stony Brook,Alamodome,San Antonio,TX,Final Four,1629.1,0.0662
Sacred Heart,Alamodome,San Antonio,TX,Final Four,1631.0,0.066
Yale,Alamodome,San Antonio,TX,Final Four,1644.2,0.0646
Albany (NY),Alamodome,San Antonio,TX,Final Four,1644.6,0.0645
New Haven,Alamodome,San Antonio,TX,Final Four,1646.4,0.0643
Quinnipiac,Alamodome,San Antonio,TX,Final Four,1653.0,0.0636
Central Connecticut State,Alamodome,San Antonio,TX,Final Four,1666.2,0.0622
Oregon,Alamodome,San Antonio,TX,Final Four,1684.7,0.0603
Connecticut,Alamodome,San Antonio,TX,Final Four,1694.0,0.0594
Oregon State,Alamodome,San Antonio,TX,Final Four,1711.2,0.0577
Portland State,Alamodome,San Antonio,TX,Final Four,1719.5,0.0569
Portland,Alamodome,San Antonio,TX,Final Four,1719.5,0.0569
Holy Cross,Alamodome,San Antonio,TX,Final Four,1726.0,0.0563
Vermont,Alamodome,San Antonio,TX,Final Four,1729.1,0.056
Bryant,Alamodome,San Antonio,TX,Final Four,1730.9,0.0559
Providence,Alamodome,San Antonio,TX,Final Four,1733.8,0.0556
Brown,Alamodome,San Antonio,TX,Final Four,1734.5,0.0555
Rhode Island,Alamodome,San Antonio,TX,Final Four,1734.9,0.0555
Pacific,Alamodome,San Antonio,TX,Final Four,1737.3,0.0553
Dartmouth,Alamodome,San Antonio,TX,Final Four,1744.7,0.0546
Stonehill,Alamodome,San Antonio,TX,Final Four,1756.2,0.0536
Boston College,Alamodome,San Antonio,TX,Final Four,1758.9,0.0533
Massachusetts-Lowell,Alamodome,San Antonio,TX,Final Four,1760.0,0.0532
Harvard,Alamodome,San Antonio,TX,Final Four,1761.8,0.0531
Boston University,Alamodome,San Antonio,TX,Final Four,1762.3,0.053
Northeastern,Alamodome,San Antonio,TX,Final Four,1762.6,0.053
Massachusetts,Alamodome,San Antonio,TX,Final Four,1762.9,0.053
Merrimack,Alamodome,San Antonio,TX,Final Four,1764.3,0.0528
Seattle,Alamodome,San Antonio,TX,Final Four,1786.2,0.0509
Washington,Alamodome,San Antonio,TX,Final Four,1787.4,0.0508
New Hampshire,Alamodome,San Antonio,TX,Final Four,1790.2,0.0506
Maine,Alamodome,San Antonio,TX,Final Four,1942.4,0.0393
St. Thomas,Alamodome,San Antonio,TX,Final Four,2060.5,0.0323
Saint Mary's,Alamodome,San Antonio,TX,Final Four,2170.2,0.0269
Hawaii,Alamodome,San Antonio,TX,Final Four,3709.0,0.0021
Richmond,Alamodome,San Antonio,TX,Final Four,4983.7,0.0002
Pepperdine,Alamodome,San Antonio,TX,Final Four,4987.1,0.0002
Maryland,Alamodome,San Antonio,TX,Final Four,5558.1,0.0001
Siena,Alamodome,San Antonio,TX,Final Four,5732.6,0.0001
Wagner,Alamodome,San Antonio,TX,Final Four,6220.9,0.0
Presbyterian,Alamodome,San Antonio,TX,Final Four,7008.9,0.0
Army,Alamodome,San Antonio,TX,Final Four,7486.4,0.0
FDU,Alamodome,San Antonio,TX,Final Four,7573.5,0.0
Saint Francis (PA),Alamodome,San Antonio,TX,Final Four,8615.0,0.0
Southern Methodist,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,3.9,0.9935
UT Arlington,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,18.0,0.9704
Texas Christian,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,32.5,0.9472
East Texas A&M,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,60.3,0.9044
Baylor,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,87.5,0.8644
Tarleton State,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,91.3,0.8589
Stephen F. Austin,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,150.2,0.7786
Texas A&M,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,153.0,0.7749
Sam Houston,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,161.6,0.7639
Abilene Christian,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,170.0,0.7532
Oklahoma,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,170.1,0.7531
Texas,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,181.4,0.739
Prairie View A&M,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,192.4,0.7257
Texas State,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,211.1,0.7034
Houston Christian,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,227.2,0.6848
Rice,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,228.0,0.6838
Northwestern State,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,228.5,0.6833
Texas Southern,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,228.7,0.683
Houston,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,229.1,0.6826
Oral Roberts,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,230.5,0.681
Oklahoma State,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,231.4,0.68
Tulsa,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,237.4,0.6732
Grambling,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,238.6,0.6719
Louisiana Tech,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,242.8,0.6672
UTSA,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,246.0,0.6636
Lamar,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,249.3,0.6601
Incarnate Word,American Airlines Center,Dallas,TX,Sweet 16/Elite 8,249.6,0.6597
